goal ,pledged ,backers ,currency ,main_category 
600,310,10,1,7
25,0,0,1,7
500,537,19,1,7
20000,110,3,1,7
600,600,4,1,7
2100,55,2,1,7
1800,5600,102,1,7
1100,520,9,1,7
1000,92,3,1,7
1500,15,1,1,7
120000,0,0,1,7
25000,0,0,1,7
99000,0,0,1,7
900,0,0,1,7
11750,2016,20,1,7
1000,0,0,1,7
275,326,10,1,7
1500,1656,40,1,7
6200,580,3,1,7
3000,4085,46,1,7
500,31,2,1,7
2000,1640,42,1,7
1000,1001,14,1,7
5000,0,0,1,7
1800,1961,60,1,7
15000,935,24,1,7
620,110,4,1,7
20000,0,0,1,7
15000,15177,242,1,7
1100,340,5,1,7
750,790,14,1,7
4000,0,0,1,7
30000,68,5,1,7
1000,1566,39,1,7
1000,2700,63,1,7
1200,2286,23,1,7
5000,5479,88,1,7
25000,2151,48,1,7
10000,10679,54,1,7
1000,2,2,1,7
7500,101,5,1,7
1200,26,3,1,7
1500,0,0,1,7
350,288,22,1,7
8000,1050,20,1,7
6000,0,0,1,7
1000,125,2,1,7
1200,1325,14,1,7
10000,100,1,1,7
50000,3566,26,1,7
4000,4771,55,1,7
5000,27,3,1,7
5000,2,2,1,7
4000,4767,61,1,7
4000,270,2,1,7
2000,2003,20,1,7
18000,220,5,1,7
1000,0,0,1,7
14000,8690,130,1,7
3000,65,1,1,7
500,10,2,1,7
10000,11109,89,1,7
10000,262,5,1,7
2000,280,10,1,7
2400,0,0,1,7
500,862,20,1,7
3000,3385,29,1,7
1000,28,2,1,7
3500,4153,45,1,7
15000,3245,23,1,7
2500,2791,44,1,7
200,77,5,1,7
150,1,1,1,7
683,862,27,1,7
5000,1660,37,1,7
12500,510,9,1,7
3500,4057,57,1,7
10000,492,15,1,7
8500,0,0,1,7
10000,10010,99,1,7
2200,2214,14,1,7
1000,0,0,1,7
4000,65,2,1,7
2500,450,4,1,7
4800,5421,46,1,7
700,0,0,1,7
5000,5035,26,1,7
5000,1,1,1,7
10000,17170,226,1,7
1000,246,13,1,7
3000,5171,89,1,7
325,412,21,1,7
300,752,41,1,7
80000,501,17,1,7
5000,600,17,1,7
7000,8614,109,1,7
